request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27367&c-r-ot=H,c-t-id,27367,"JOHNSON, JEFF",c-t-eid,13736129,"JOHNSON, JEFF",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8731,"ASSEMBLY DISTRICT 085",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",126,9650.30
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74703&c-r-ot=H,c-t-id,74703,"SORENSON, MELISSA",c-t-eid,13736034,"SORENSON, MELISSA",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8687,"ASSEMBLY DISTRICT 041",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",186,9538.93
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134429&c-r-ot=H,c-t-id,134429,"YOUNG, LEON D",c-t-eid,13009494,"YOUNG, LEON D",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8662,"ASSEMBLY DISTRICT 016",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",47,9391.31
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27409&c-r-ot=H,c-t-id,27409,"LEMAHIEU, DEVIN",c-t-eid,3073941,"LEMAHIEU, DEVIN",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8672,"ASSEMBLY DISTRICT 026",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",66,9320.00
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27397&c-r-ot=H,c-t-id,27397,"BAKK, SANDY",c-t-eid,13736050,"BAKK, SANDY",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8693,"ASSEMBLY DISTRICT 047",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",108,8886.16
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27412&c-r-ot=H,c-t-id,27412,"PLEUSS, JIM",c-t-eid,13736078,"PLEUSS, JIM",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8702,"ASSEMBLY DISTRICT 056",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",31,8810.00
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74672&c-r-ot=H,c-t-id,74672,"KEGLEY, DOROTHY KAY",c-t-eid,13736018,"KEGLEY, DOROTHY KAY",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8682,"ASSEMBLY DISTRICT 036",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",85,8558.03
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74727&c-r-ot=H,c-t-id,74727,"ESSLINGER, PAUL J",c-t-eid,13736071,"ESSLINGER, PAUL J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8700,"ASSEMBLY DISTRICT 054",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",62,8189.66
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74689&c-r-ot=H,c-t-id,74689,"POWERS, JOHN",c-t-eid,2970007,"POWERS, JOHN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8652,"ASSEMBLY DISTRICT 006",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",111,7735.26
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74663&c-r-ot=H,c-t-id,74663,"CZISNY, PAUL G",c-t-eid,13736062,"CZISNY, PAUL G",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8698,"ASSEMBLY DISTRICT 052",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",81,7358.84
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74676&c-r-ot=H,c-t-id,74676,"KURTZ, WILLIAM R",c-t-eid,13735982,"KURTZ, WILLIAM R",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8667,"ASSEMBLY DISTRICT 021",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",77,6874.09
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74675&c-r-ot=H,c-t-id,74675,"KRUMINS, MARGA",c-t-eid,13736153,"KRUMINS, MARGA",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8743,"ASSEMBLY DISTRICT 097",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",116,6745.74
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=27408&c-r-ot=H,c-t-id,27408,"LECHNER, DONALD A (DON)",c-t-eid,13736032,"LECHNER, DONALD A (DON)",c-t-ftsts,Lost-Primary,Lost-Primary,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8685,"ASSEMBLY DISTRICT 039",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",5,6630.37
